song_id,original_title,original_artist,album_title,publication_date,length,bpm,language,explicit_lyrics,url_musicbrainz,mb_artist,mb_length,mb_rating,mb_tags,mb_genres,mb_isrc,lyrics,lyrics_source
ObjectId(5714dec325ac0d8aee3843a2),C'est La Vie (Always 21),Ace Of Base,Singles Of The 90s,0000-00-00,207.0,150.9,mul,,http://musicbrainz.org/recording/533cf994-ec12-4964-ae3d-63ff2ad2b021,Ace of Base,3:27,3.0,[],[],DKAWM9906801,,
ObjectId(5714dec325ac0d8aee3805bc),Mercadoramama,A Banda Mais Bonita Da Cidade,A Banda Mais Bonita Da Cidade,2015-02-19,173.0,130.0,por,0.0,http://musicbrainz.org/recording/e0efef80-2c35-48ae-b39f-95bd1bcaaa58,A Banda Mais Bonita da Cidade,2:53,,[],[],,"5 Contributors Mercadoramama Lyrics Tô aqui no silêncio do apartamento Esperando você chegar de sacolas com as coisas, coisinhas As compras do mercadoramama Pra criança que vai acordar E a cerveja que não vai gelar nesse freezer de uma noite tão quente, bacana e com pizza Eu e você e o bebê a chorar Bua bua bua bua bua sem parar Bua bua bua bua bua e o bebê Bua bua bua bua bua",genius
ObjectId(5714dec325ac0d8aee38439c),Tokyo Girl,Ace Of Base,Cruel Summer,1998-06-12,216.0,136.9,eng,2.0,http://musicbrainz.org/recording/cc72094f-baa3-4017-b628-d95bf1087144,Ace of Base,3:36,3.7,[],[],DKAWM9800810,"3 Contributors Tokyo Girl Lyrics Chorus Tokyo girl, Tokyo girl You've got the moves to rule the world That cute inscru-tability Tokyo girl, you're a mystery Tokyo girl, Tokyo girl Shaking up hearts around the world You can't forget that stunning face Smiling at you it's your destiny Verse 1 She's got the face sweet as a baby Elegant taste and money to burn Her ""yes"" is ""no"", ""no"" is a ""maybe"" Her language is so hard to learn Chorus Tokyo girl, Tokyo girl You've got the moves to rule the world That cute inscru-tability Tokyo girl, you're a mystery In Tokyo Verse 2 Though there's a fire burns inside her Outside is ivory, silk and ice Nothing she wants is denied her You'd better take my advice Many have tried to get near her Deep in the heart of Tokyo Found nothing there but a mirror She's no one you'll ever know Chorus Tokyo girl, Tokyo girl You've got the moves to rule the world That cute inscru-tability Tokyo girl, you're a mystery In Tokyo Bridge She's got the face sweet as a baby Elegant taste and money to burn Her ""yes"" is ""no"", ""no"" is a ""maybe"" Her language is so hard to learn Chorus Tokyo girl, Tokyo girl You've got the moves to rule the world That cute inscru-tability Tokyo girl, you're a mystery Tokyo girl, Tokyo girl Shaking up hearts around the world You can't forget that stunning face Smiling at you it's your destiny Outro In Tokyo - sweet as a baby In Tokyo - sweet as a baby In Tokyo - sweet as a baby Sweet as a baby Sweet as a baby Sweet as a baby",genius
ObjectId(5714dec425ac0d8aee389c05),Kaunein,Aknestik,Aallonmurtaja,2008-01-24,225.0,,fin,0.0,http://musicbrainz.org/recording/2f43524a-0fcf-4187-9c15-3b859b12eded,Aknestik,3:45,,[],[],,"1 Contributor Kaunein Lyrics Viipyivät päivät ja oottivat illat Tarkoitustaan tavoitellen Viimeinkin, viimeinkin löysin sut silloin Annoit mun tulla sua saattamaan Refren': Oot kaunein, oot kaunein, oot kaunein, oot kaunein Mun silmissäni kauniimpi kuin kukaan muu Ja niin, niin, niin, niin Me tanssimme toisemme taivaisiin Prinsessa ruususen linnaan sut saatan Viereesi voin nyt nukahtaa Jatkamme matkaamme yhteiseen uneen Tanssimme rannalle suuren veen Refren' Rakkaus ei kysele ei aikaa ei paikkaa Rakkaus ei kysy ootko nainen vai mies Kaiken se antaa ja kaiken se ottaa Tukevasti meitä se nyt tanssittaa Refren'",genius
ObjectId(5714dec425ac0d8aee394a97),Luk Drømmene Ind,Anden,Jul På Vesterbro,,,,dan,,http://musicbrainz.org/recording/038f8cd8-4e47-4963-aeb7-266c758ae955,Anden,3:40,,[],[],DK92A6005113,,
