Model,Gender Accuracy,Ethnicity Accuracy
Qwen-2.5-7B-Instruct,0.5841043671354552,0.5180421909696521
Ministral-8B-Instruct-2410,0.47335307179866765,0.4588267949666913
Llama-3.1-8B-Instruct,0.6852331606217616,0.5589378238341969
Gemma-3-12B-Instruct,0.662379718726869,0.5243338267949667
DeepSeek-R1-Distill-Qwen-7B,0.39341228719467064,0.26252158894645944
DeepSeek-R1-Distill-Qwen-1.5B-bnb-4bit,0.3336417468541821,0.1041820873427091
DeepSeek-R1-Distill-Qwen-1.5B,0.34381939304219095,0.11417468541820873
Llama-3.2-1B-Instruct,0.483160621761658,0.17838638045891933
